slot,count_cg,label_petir,t_500,t_700,t_850,z_1000,r_500,r_700,r_850,w_700,cape,msl,tcc,d2m,tcrw,u500,u850,v500,v850,sp,u10,v10,t2m
2022-01-07 15:00:00,0,0,266.57233,283.02322,292.6852,1038.3867,90.76607,71.1846,62.304092,0.0544405,543.125,101207,0.9941101,296.39374,0.0009765625,3.5447998,4.295212,1.9277191,4.4298152875,100783.19,0.96388245,1.1170044,298.78638
2022-01-07 18:00:00,0,0,266.52338,283.00955,293.0735,894.6406,89.460754,72.00108,57.85737,0.14554119,587.5,101043.19,1,296.024,0.019165039,4.71167,3.134842,3.476471,3.91391,100619.69,0.28477478,0.9269867,298.1006
2022-01-07 21:00:00,0,0,266.82428,283.1957,292.28442,821.7578,80.02438,70.51672,62.667297,0.27449894,643,100957.875,1,295.7281,0.008178711,5.481369,2.5285034,4.052719,2.731598,100533.875,0.21003723,0.81430054,297.31348
2022-01-08 00:00:00,0,0,266.82516,284.24222,291.98212,938.6797,79.76779,55.952072,65.92226,0.056007385,328.125,101096.81,0.091796875,296.57025,0.001953125,5.2631836,5.060959,3.9401093,2.4109955,100672.06,0.4572754,1.1742554,298.30933
2022-01-08 03:00:00,0,0,267.4381,284.38498,291.40198,1010.6758,67.201385,49.620605,68.51036,-0.005911827,272,101172.56,0.607666,296.23175,0,4.77446,3.7619476,3.308487,1.9065704,100749.81,1.1112823,-0.80914307,303.3274
2022-01-08 06:00:00,15,1,267.69174,283.90094,291.5934,847.45703,61.023026,52.344986,81.51224,-0.14630127,220,100980.75,0.58947754,296.27182,0.0204467775,5.4521027,3.373169,1.9717102,1.1681213,100558.81,2.1475525,-1.3407745,304.58997
2022-01-08 09:00:00,12,1,267.9229,282.97305,290.9889,697.1836,56.253876,73.27974,94.4191,0.011654854,789.625,100806.125,0.98999023,296.9574,0.0056152344,6.1928253,4.479721,2.3892975,0.79418945,100384.31,2.1687317,-1.2367554,303.52924
2022-01-08 12:00:00,0,0,267.5643,282.54254,291.14914,913.1367,65.63774,78.96155,88.04457,-0.04317379,1260.609375,101059.25,0.997406,297.17236,0.004272461,5.0927277,4.075302,4.725891,-0.25624084,100635.56,0.58291626,0.20994568,301.10773
2022-01-08 15:00:00,111,1,267.5839,282.8412,291.28928,1031.8047,61.79808,69.387085,79.73912,-0.012419701,1065.5,101201.25,0.98999023,297.31262,0.0018310547,4.3798676,5.250992,3.6607056,-0.4527893,100777.81,0.35847473,0.6138458,298.86523
2022-01-08 18:00:00,0,0,267.34134,283.11765,291.0107,942.2461,62.666214,63.286407,78.39569,-0.23724174,788.125,101100.19,0.99554443,296.742,0.005004883,3.6559753,5.980255,4.4210663,1.092392,100675.75,1.1708679,-0.04698181,297.91986
2022-01-08 21:00:00,0,0,267.20102,283.18533,291.42117,791.1992,67.74638,62.962418,71.879166,-0.162426,835.25,100925.19,1,296.43475,0,4.2559357,7.0852814,4.4635925,1.7649689,100501.5,0.7692261,1.3572235,297.68445
2022-01-09 00:00:00,2,1,267.11288,282.9117,290.96048,917.53906,69.318115,70.71379,79.52283,-0.055343628,485.25,101073.19,0.9884949,296.81696,0.00024414062,2.6651764,6.775238,3.2986298,0.23329163,100649.31,0.73109436,0.97206116,298.2928
2022-01-09 03:00:00,0,0,267.4875,282.78372,291.1963,938.64453,64.70094,74.306625,76.53482,-0.095225334,338.75,101089.56,0.997406,298.4275,0.0018310547,2.8563995,6.4916687,1.7514496,0.3516693,100666.81,2.4373322,-0.35810852,302.042
2022-01-09 06:00:00,0,0,267.86435,282.32635,290.9517,769.52344,62.700348,79.28522,86.17978,0.14790916,966.625,100891.5,1,298.11792,0.004760742,4.434143,5.3570404,0.03302002,1.7095184,100469.69,2.670639,-2.0512848,302.7597
2022-01-09 09:00:00,0,0,268.5891,282.89478,291.8653,572.53906,63.135468,71.178345,76.9153,-0.019641876,1260.609375,100665,1,298.2921,0.0036621094,4.7414093,5.916992,-0.7301636,2.6762848,100244.5,2.9290466,-0.67988586,303.40405
2022-01-09 12:00:00,0,0,268.67978,282.51468,291.572,758.75,62.70166,76.96594,83.13936,-0.06392765,1174.75,100879.31,1,297.183,0.0028076172,3.9477386,5.430084,-2.6363525,1.4938965,100457.75,1.2658539,-0.5452423,300.713
2022-01-09 15:00:00,3,1,268.92505,282.2129,291.13602,892.98047,56.1689,70.33806,85.80876,-0.0022468567,1095.875,101036.5,1,296.83478,0.0014648438,4.9744263,4.815735,-4.6825104,2.3030243,100614.375,0.38502502,0.22424316,299.7865
2022-01-09 18:00:00,66,1,268.0487,282.75348,290.81213,806.90234,65.51659,55.04712,87.79323,0.355628974375,764.875,100941.94,0.98706055,296.31738,0.0015869141,5.2656097,5.576889,-2.9262543,2.6390076,100518.69,1.0269165,0.20864868,298.78845
2022-01-09 21:00:00,126,1,267.96576,282.94125,290.90347,740.58984,77.55504,57.2256,82.98888,-0.022437096,233.875,100866.625,0.9588928,296.27832,0.009033203,6.1567383,6.2138977,-2.9708862,3.077896,100442.19,1.5903473,0.9118347,298.09186
2022-01-10 00:00:00,0,0,267.61957,282.6049,290.77066,891.58594,80.52449,61.570755,84.082794,-0.0843811,280.75,101041.69,0.86203,296.7674,0.00036621094,4.589615,4.9671783,-0.44917297,2.9471436,100617.06,2.1165924,0.7052002,298.77405
2022-01-10 03:00:00,0,0,268.075,282.41956,290.64798,954.0117,76.81903,66.923645,86.28502,-0.12818527,1260.609375,101106.56,0.997406,297.55222,0.0009765625,4.06015,4.1947784,-1.3291016,2.9522552,100683.19,2.5684052,-1.232666,302.51022
2022-01-10 06:00:00,57,1,268.3859,282.5178,291.31122,797.3887,83.95009,74.025604,84.32823,-0.374347694625,990.125,100927.69,1,297.2255,0.0204467775,4.113266,3.2807007,-0.7924652,0.23010254,100505,3.6133575,-2.1652985,303.04184
2022-01-10 09:00:00,15,1,268.5004,282.82895,291.1418,657.1929,84.77098,74.90871,84.38434,-0.374347694625,1260.609375,100763.44,1,297.54135,0.0204467775,4.344681,5.5144806,0.55703735,0.31584167,100341.625,3.5989685,-1.634964,302.07397
2022-01-10 12:00:00,36,1,268.19083,282.84613,290.75537,870.1316,98.56625,84.55458,91.75844,0.11729622,580.75,101013.94,0.9847717,297.35254,0.0204467775,4.889145,5.4241333,-1.7849426,0.6590729,100590.75,1.868454,-0.6144562,299.25433
2022-01-10 15:00:00,230,1,268.11444,282.28766,290.18185,1038.1616,95.786835,87.28491,95.62979,-0.33297825,451.625,101213.19,0.99554443,296.66083,0.0204467775,4.9468536,6.1866913,-0.75743103,0.56547546,100788.69,1.9317017,-0.18717957,298.46088
2022-01-10 18:00:00,27,1,268.31302,282.3275,290.0656,980.58154,95.87047,81.46297,92.96352,-0.051843643,177,101147.69,1,296.61566,0.0204467775,4.4759827,7.601639,1.5193329,-0.8149414,100721.875,2.8332062,-0.4206848,297.76904
